t,vout,code,vout_meas,vref
479648913400.0,2.5,555.0,2.5,4.612510532594828
479649088800.0,2.5,555.0,2.5,4.612510532594828
479649246300.0,2.5,555.0,2.5,4.612510532594828
479649408500.0,2.5,555.0,2.5,4.612510532594828
479649598400.0,2.5,555.0,2.5,4.612510532594828
479649780900.0,2.5,555.0,2.5,4.612510532594828
479650832700.0,2.5,555.0,2.5,4.612510532594828
479650964900.0,2.5,555.0,2.5,4.612510532594828
479651149400.0,2.5,556.0,2.5,4.612510532594828
479651311300.0,2.5,555.0,2.5,4.612510532594828
479651470200.0,2.5,554.0,2.5,4.612510532594828
479651629300.0,2.5,555.0,2.5,4.612510532594828
479653232300.0,2.5,555.0,2.5,4.612510532594828
479653381700.0,2.5,555.0,2.5,4.612510532594828
479653559900.0,2.5,555.0,2.5,4.612510532594828
479653713500.0,2.5,555.0,2.5,4.612510532594828
479653855300.0,2.5,555.0,2.5,4.612510532594828
479654019600.0,2.5,555.0,2.5,4.612510532594828
479654182600.0,2.5,555.0,2.5,4.612510532594828
479655849000.0,2.5,554.0,2.5,4.612510532594828
479655990600.0,2.5,555.0,2.5,4.612510532594828
479656132600.0,2.5,555.0,2.5,4.612510532594828
479656278700.0,2.5,555.0,2.5,4.612510532594828
479656423800.0,2.5,555.0,2.5,4.612510532594828
479656576700.0,2.5,554.0,2.5,4.612510532594828
479657836600.0,2.5,554.0,2.5,4.612510532594828
479657982800.0,2.5,554.0,2.5,4.612510532594828
479658132100.0,2.5,554.0,2.5,4.612510532594828
479658272500.0,2.5,555.0,2.5,4.612510532594828
479658435000.0,2.5,554.0,2.5,4.612510532594828
479658640600.0,2.5,555.0,2.5,4.612510532594828
479658798200.0,2.5,554.0,2.5,4.612510532594828
479660284800.0,2.5,554.0,2.5,4.612510532594828
479660466900.0,2.5,555.0,2.5,4.612510532594828
479660664100.0,2.5,555.0,2.5,4.612510532594828
479660834900.0,2.5,555.0,2.5,4.612510532594828
479661010800.0,2.5,555.0,2.5,4.612510532594828
479661190400.0,2.5,554.0,2.5,4.612510532594828
479662263300.0,2.5,556.0,2.5,4.612510532594828
479662404500.0,2.5,555.0,2.5,4.612510532594828
479662579200.0,2.5,555.0,2.5,4.612510532594828
479662783800.0,2.5,555.0,2.5,4.612510532594828
479662956600.0,2.5,555.0,2.5,4.612510532594828
479663127000.0,2.5,555.0,2.5,4.612510532594828
479664819400.0,2.5,555.0,2.5,4.612510532594828
479664982100.0,2.5,555.0,2.5,4.612510532594828
479665166000.0,2.5,555.0,2.5,4.612510532594828
479665333900.0,2.5,555.0,2.5,4.612510532594828
479665482900.0,2.5,555.0,2.5,4.612510532594828
479665648200.0,2.5,554.0,2.5,4.612510532594828
479665813800.0,2.5,555.0,2.5,4.612510532594828
479666851800.0,2.5,555.0,2.5,4.612510532594828
479666988200.0,2.5,555.0,2.5,4.612510532594828
479667162800.0,2.5,555.0,2.5,4.612510532594828
479667325800.0,2.5,555.0,2.5,4.612510532594828
479667468300.0,2.5,555.0,2.5,4.612510532594828
479667651000.0,2.5,555.0,2.5,4.612510532594828
479669244000.0,2.5,555.0,2.5,4.612510532594828
479669387800.0,2.5,557.0,2.5,4.612510532594828
479669518900.0,2.5,555.0,2.5,4.612510532594828
479669694800.0,2.5,555.0,2.5,4.612510532594828
479669870300.0,2.5,555.0,2.5,4.612510532594828
479670006100.0,2.5,555.0,2.5,4.612510532594828
479670165000.0,2.5,555.0,2.5,4.612510532594828
479671867700.0,2.5,555.0,2.5,4.612510532594828
479672016600.0,2.5,555.0,2.5,4.612510532594828
479672188500.0,2.5,555.0,2.5,4.612510532594828
479672352100.0,2.5,555.0,2.5,4.612510532594828
479672540100.0,2.5,555.0,2.5,4.612510532594828
479672713900.0,2.5,555.0,2.5,4.612510532594828
479673850900.0,2.5,555.0,2.5,4.612510532594828
479673994300.0,2.5,555.0,2.5,4.612510532594828
479674171900.0,2.5,557.0,2.5,4.612510532594828
479674335400.0,2.5,555.0,2.5,4.612510532594828
479674511000.0,2.5,555.0,2.5,4.612510532594828
479674706800.0,2.5,555.0,2.5,4.612510532594828
479676233200.0,2.5,554.0,2.5,4.612510532594828
479676374900.0,2.5,554.0,2.5,4.612510532594828
479676526800.0,2.5,554.0,2.5,4.612510532594828
479676702400.0,2.5,555.0,2.5,4.612510532594828
479676865900.0,2.5,554.0,2.5,4.612510532594828
479677031800.0,2.5,555.0,2.5,4.612510532594828
479677219100.0,2.5,554.0,2.5,4.612510532594828
479678270400.0,2.5,555.0,2.5,4.612510532594828
479678414400.0,2.5,554.0,2.5,4.612510532594828
479678555700.0,2.5,554.0,2.5,4.612510532594828
479678713700.0,2.5,555.0,2.5,4.612510532594828
479678880000.0,2.5,555.0,2.5,4.612510532594828
479679038900.0,2.5,555.0,2.5,4.612510532594828
479680854500.0,2.5,554.0,2.5,4.612510532594828
479681046700.0,2.5,557.0,2.5,4.612510532594828
479681209200.0,2.5,556.0,2.5,4.612510532594828
479681377500.0,2.5,554.0,2.5,4.612510532594828
479681571500.0,2.5,555.0,2.5,4.612510532594828
479681717000.0,2.5,555.0,2.5,4.612510532594828
479681878700.0,2.5,555.0,2.5,4.612510532594828
479682869100.0,2.5,555.0,2.5,4.612510532594828
479683020000.0,2.5,555.0,2.5,4.612510532594828
479683177100.0,2.5,555.0,2.5,4.612510532594828
479683336700.0,2.5,555.0,2.5,4.612510532594828
479683493000.0,2.5,555.0,2.5,4.612510532594828
479683671700.0,2.5,555.0,2.5,4.612510532594828
479685253400.0,2.5,555.0,2.5,4.612510532594828
479685395600.0,2.5,555.0,2.5,4.612510532594828
479685543300.0,2.5,556.0,2.5,4.612510532594828
479685721400.0,2.5,555.0,2.5,4.612510532594828
479685878900.0,2.5,555.0,2.5,4.612510532594828
479686043800.0,2.5,555.0,2.5,4.612510532594828
479687823200.0,2.5,555.0,2.5,4.612510532594828
479687978200.0,2.5,555.0,2.5,4.612510532594828
479688151300.0,2.5,555.0,2.5,4.612510532594828
479688315600.0,2.5,555.0,2.5,4.612510532594828
479688458300.0,2.5,555.0,2.5,4.612510532594828
479688597800.0,2.5,554.0,2.5,4.612510532594828
479688798800.0,2.5,556.0,2.5,4.612510532594828
479689873300.0,2.5,555.0,2.5,4.612510532594828
479690046200.0,2.5,555.0,2.5,4.612510532594828
479690212000.0,2.5,555.0,2.5,4.612510532594828
479690379900.0,2.5,555.0,2.5,4.612510532594828
479690551300.0,2.5,555.0,2.5,4.612510532594828
479690737900.0,2.5,555.0,2.5,4.612510532594828
479691838600.0,2.5,555.0,2.5,4.612510532594828
479692035400.0,2.5,556.0,2.5,4.612510532594828
479692215000.0,2.5,554.0,2.5,4.612510532594828
479692380900.0,2.5,555.0,2.5,4.612510532594828
479692586500.0,2.5,556.0,2.5,4.612510532594828
479692771500.0,2.5,554.0,2.5,4.612510532594828
479692948500.0,2.5,555.0,2.5,4.612510532594828
479694298600.0,2.5,558.0,2.5,4.612510532594828
479694473200.0,2.5,555.0,2.5,4.612510532594828
479694677500.0,2.5,554.0,2.5,4.612510532594828
479694850900.0,2.5,555.0,2.5,4.612510532594828
479695037700.0,2.5,555.0,2.5,4.612510532594828
479695230700.0,2.5,555.0,2.5,4.612510532594828
479696875500.0,2.5,554.0,2.5,4.612510532594828
479697116300.0,2.5,555.0,2.5,4.612510532594828
479697448500.0,2.5,555.0,2.5,4.612510532594828
479697649100.0,2.5,555.0,2.5,4.612510532594828
479697848200.0,2.5,555.0,2.5,4.612510532594828
479698048600.0,2.5,555.0,2.5,4.612510532594828
479699244700.0,2.5,555.0,2.5,4.612510532594828
479699393400.0,2.5,554.0,2.5,4.612510532594828
479699563000.0,2.5,557.0,2.5,4.612510532594828
479699714400.0,2.5,555.0,2.5,4.612510532594828
479699903100.0,2.5,554.0,2.5,4.612510532594828
479700084900.0,2.5,555.0,2.5,4.612510532594828
479700254400.0,2.5,555.0,2.5,4.612510532594828
479701299300.0,2.5,554.0,2.5,4.612510532594828
479701474100.0,2.5,554.0,2.5,4.612510532594828
479701611600.0,2.5,556.0,2.5,4.612510532594828
479701763500.0,2.5,555.0,2.5,4.612510532594828
479701926900.0,2.5,555.0,2.5,4.612510532594828
479702087200.0,2.5,555.0,2.5,4.612510532594828
479703266900.0,2.5,555.0,2.5,4.612510532594828
479703425100.0,2.5,555.0,2.5,4.612510532594828
479703565100.0,2.5,555.0,2.5,4.612510532594828
479703759300.0,2.5,556.0,2.5,4.612510532594828
479703973900.0,2.5,555.0,2.5,4.612510532594828
479704170600.0,2.5,555.0,2.5,4.612510532594828
479704358400.0,2.5,555.0,2.5,4.612510532594828
479705871300.0,2.5,557.0,2.5,4.612510532594828
479706064100.0,2.5,555.0,2.5,4.612510532594828
479706243000.0,2.5,555.0,2.5,4.612510532594828
479706408500.0,2.5,555.0,2.5,4.612510532594828
479706581500.0,2.5,554.0,2.5,4.612510532594828
479706729500.0,2.5,555.0,2.5,4.612510532594828
479707847500.0,2.5,555.0,2.5,4.612510532594828
479708044600.0,2.5,555.0,2.5,4.612510532594828
479708222900.0,2.5,556.0,2.5,4.612510532594828
479708381700.0,2.5,555.0,2.5,4.612510532594828
479708544200.0,2.5,555.0,2.5,4.612510532594828
479708716900.0,2.5,555.0,2.5,4.612510532594828
479710821800.0,2.5,556.0,2.5,4.612510532594828
479710972700.0,2.5,555.0,2.5,4.612510532594828
479711114100.0,2.5,555.0,2.5,4.612510532594828
479711265300.0,2.5,555.0,2.5,4.612510532594828
479711432700.0,2.5,555.0,2.5,4.612510532594828
479711592100.0,2.5,555.0,2.5,4.612510532594828
479711757200.0,2.5,555.0,2.5,4.612510532594828
479712857200.0,2.5,555.0,2.5,4.612510532594828
479713012600.0,2.5,555.0,2.5,4.612510532594828
479713205500.0,2.5,555.0,2.5,4.612510532594828
479713385700.0,2.5,555.0,2.5,4.612510532594828
479713529300.0,2.5,556.0,2.5,4.612510532594828
479713677800.0,2.5,556.0,2.5,4.612510532594828
479714849300.0,2.5,554.0,2.5,4.612510532594828
479715002900.0,2.5,555.0,2.5,4.612510532594828
479715173800.0,2.5,556.0,2.5,4.612510532594828
479715332300.0,2.5,555.0,2.5,4.612510532594828
479715514300.0,2.5,555.0,2.5,4.612510532594828
479715709600.0,2.5,555.0,2.5,4.612510532594828
479715857100.0,2.5,555.0,2.5,4.612510532594828
