t,vout,code,vout_meas,vref
477278246100.0,2.5,558.0,2.5,4.593014942257088
477278295900.0,2.5,558.0,2.5,4.593014942257088
477278340700.0,2.5,557.0,2.5,4.593014942257088
477278384900.0,2.5,557.0,2.5,4.593014942257088
477278428900.0,2.5,557.0,2.5,4.593014942257088
477278472800.0,2.5,558.0,2.5,4.593014942257088
477280204400.0,2.5,557.0,2.5,4.593014942257088
477280251200.0,2.5,557.0,2.5,4.593014942257088
477280300300.0,2.5,557.0,2.5,4.593014942257088
477280347800.0,2.5,558.0,2.5,4.593014942257088
477280392500.0,2.5,557.0,2.5,4.593014942257088
477280438300.0,2.5,557.0,2.5,4.593014942257088
477282764400.0,2.5,557.0,2.5,4.593014942257088
477282847000.0,2.5,559.0,2.5,4.593014942257088
477282902200.0,2.5,558.0,2.5,4.593014942257088
477282957400.0,2.5,557.0,2.5,4.593014942257088
477283015700.0,2.5,557.0,2.5,4.593014942257088
477283070300.0,2.5,557.0,2.5,4.593014942257088
477283124400.0,2.5,558.0,2.5,4.593014942257088
477284788900.0,2.5,557.0,2.5,4.593014942257088
477284836300.0,2.5,558.0,2.5,4.593014942257088
477284881400.0,2.5,557.0,2.5,4.593014942257088
477284926200.0,2.5,558.0,2.5,4.593014942257088
477284971100.0,2.5,557.0,2.5,4.593014942257088
477285042100.0,2.5,557.0,2.5,4.593014942257088
477287177200.0,2.5,557.0,2.5,4.593014942257088
477287223000.0,2.5,557.0,2.5,4.593014942257088
477287268100.0,2.5,557.0,2.5,4.593014942257088
477287323500.0,2.5,557.0,2.5,4.593014942257088
477287379900.0,2.5,557.0,2.5,4.593014942257088
477287434800.0,2.5,557.0,2.5,4.593014942257088
477287489600.0,2.5,557.0,2.5,4.593014942257088
477289801200.0,2.5,557.0,2.5,4.593014942257088
477289847400.0,2.5,556.0,2.5,4.593014942257088
477289893000.0,2.5,556.0,2.5,4.593014942257088
477289937000.0,2.5,556.0,2.5,4.593014942257088
477289982100.0,2.5,557.0,2.5,4.593014942257088
477290047600.0,2.5,556.0,2.5,4.593014942257088
477291803500.0,2.5,557.0,2.5,4.593014942257088
477291852000.0,2.5,556.0,2.5,4.593014942257088
477291897000.0,2.5,557.0,2.5,4.593014942257088
477291944300.0,2.5,557.0,2.5,4.593014942257088
